Time(s) 	Rel. Power      React.($)  	  CR Bank Pos.
------     ----------		---------		--------
42.250		 6.9759E-01		-0.3572			 75.75 
42.500		 6.8831E-01		-0.3625			 75.00 
42.750		 6.7975E-01		-0.3673			 74.25 
43.000		 6.7099E-01		-0.3724			 73.50 
43.250		 6.6231E-01		-0.3775			 72.75 
43.500		 6.5343E-01		-0.3830			 72.00 
43.750		 6.4526E-01		-0.3878			 71.25 
44.000		 6.3701E-01		-0.3928			 70.50 
44.250		 6.2890E-01		-0.3978			 69.75 
44.500		 6.2091E-01		-0.4027			 69.00 
44.750		 6.1311E-01		-0.4076			 68.25 
45.000		 6.0543E-01		-0.4125			 67.50 
45.250		 5.9773E-01		-0.4174			 66.75 
45.500		 5.9025E-01		-0.4223			 66.00 
45.750		 5.8286E-01		-0.4271			 65.25 
46.000		 5.7566E-01		-0.4319			 64.50 
46.250		 5.6851E-01		-0.4367			 63.75 
46.500		 5.6110E-01		-0.4419			 63.00 
46.750		 5.5445E-01		-0.4463			 62.25 
47.000		 5.4725E-01		-0.4514			 61.50 
47.250		 5.4080E-01		-0.4558			 60.75 
47.500		 5.3431E-01		-0.4603			 60.00 
47.750		 5.2943E-01		-0.4605			 60.00 
48.000		 5.2499E-01		-0.4602			 60.00 
48.250		 5.2039E-01		-0.4603			 60.00 
48.500		 5.1608E-01		-0.4602			 60.00 
48.750		 5.1181E-01		-0.4602			 60.00 
49.000		 5.0756E-01		-0.4603			 60.00 
49.250		 5.0348E-01		-0.4603			 60.00 
49.500		 4.9942E-01		-0.4603			 60.00 
49.750		 4.9550E-01		-0.4603			 60.00 
50.000		 4.9162E-01		-0.4603			 60.00 
50.250		 4.8782E-01		-0.4603			 60.00 
50.500		 4.8411E-01		-0.4603			 60.00 
50.750		 4.8044E-01		-0.4603			 60.00 
51.000		 4.7687E-01		-0.4603			 60.00 
51.250		 4.7333E-01		-0.4603			 60.00 
51.500		 4.6987E-01		-0.4603			 60.00 
51.750		 4.6645E-01		-0.4603			 60.00 
52.000		 4.6313E-01		-0.4603			 60.00 
52.250		 4.5979E-01		-0.4604			 60.00 
52.500		 4.5658E-01		-0.4603			 60.00 
52.750		 4.5340E-01		-0.4603			 60.00 
53.000		 4.5021E-01		-0.4604			 60.00 
53.250		 4.4712E-01		-0.4604			 60.00 
53.500		 4.4393E-01		-0.4606			 60.00 
53.750		 4.4114E-01		-0.4603			 60.00 
54.000		 4.3798E-01		-0.4606			 60.00 
54.250		 4.3522E-01		-0.4603			 60.00 
54.500		 4.3245E-01		-0.4602			 60.00 
54.750		 4.2948E-01		-0.4604			 60.00 
55.000		 4.2673E-01		-0.4604			 60.00 
55.250		 4.2405E-01		-0.4603			 60.00 
55.500		 4.2125E-01		-0.4604			 60.00 
55.750		 4.1858E-01		-0.4604			 60.00 
56.000		 4.1596E-01		-0.4603			 60.00 
56.250		 4.1343E-01		-0.4602			 60.00 
